epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14711,1.63442,2.24553,2.06031,0.51533,0.62338,0.53066,0.18057,1.88138,2.93192,3.12887,0.000647619,0.000647619,0.000647619
2,7.01991,1.44821,1.76735,1.87003,0.42766,0.56287,0.43672,0.14251,1.95051,2.51472,3.59363,0.00131425,0.00131425,0.00131425
3,9.81609,1.48917,1.69402,1.89704,0.37186,0.58442,0.35525,0.09687,2.23691,3.04451,3.50279,0.00198074,0.00198074,0.00198074
4,12.6203,1.47961,1.66779,1.89541,0.27709,0.45455,0.22713,0.06785,1.98616,4.11469,3.00428,0.00199951,0.00199951,0.00199951
5,15.3211,1.5128,1.59175,1.9178,0.16627,0.25974,0.10238,0.03295,2.39693,2.56863,3.12167,0.00199913,0.00199913,0.00199913
6,17.9862,1.49227,1.52979,1.88001,0.07489,0.25974,0.0391,0.01033,2.91872,8.8158,4.23533,0.00199864,0.00199864,0.00199864
7,20.6445,1.44721,1.51928,1.84389,0.11225,0.2987,0.07096,0.02289,2.83541,3.0554,3.44626,0.00199805,0.00199805,0.00199805
8,23.3214,1.42346,1.45308,1.84275,0.53735,0.63636,0.49743,0.13367,2.59429,1.93699,3.51914,0.00199734,0.00199734,0.00199734
9,25.9688,1.35775,1.3484,1.78587,0.77488,0.75997,0.77098,0.30459,1.91012,1.38869,2.92042,0.00199653,0.00199653,0.00199653
10,28.6423,1.45482,1.41356,1.86507,0.74962,0.74026,0.75986,0.33036,1.63352,1.75381,2.43103,0.00199561,0.00199561,0.00199561
11,31.3262,1.43898,1.38377,1.84302,0.74239,0.62338,0.6685,0.2576,2.1223,1.86004,3.40268,0.00199458,0.00199458,0.00199458
12,34.0749,1.36187,1.24549,1.77081,0.82369,0.72809,0.78298,0.38234,1.62541,1.61211,2.37765,0.00199344,0.00199344,0.00199344
13,36.7368,1.3541,1.24102,1.77211,0.79395,0.7006,0.75017,0.32174,1.74189,1.55929,2.4522,0.00199219,0.00199219,0.00199219
14,39.4047,1.33492,1.24314,1.76931,0.80106,0.80519,0.79884,0.34043,1.8742,1.27524,2.84312,0.00199084,0.00199084,0.00199084
15,42.0776,1.33965,1.2474,1.74947,0.5874,0.66562,0.63296,0.26462,2.31535,1.87686,2.9856,0.00198938,0.00198938,0.00198938
16,44.8099,1.32207,1.24393,1.73983,0.79494,0.64935,0.74316,0.37514,1.75489,1.28308,2.51665,0.00198781,0.00198781,0.00198781
17,47.4801,1.32712,1.20501,1.75389,0.86751,0.85714,0.9025,0.36101,1.8969,1.16645,2.80426,0.00198614,0.00198614,0.00198614
18,50.1922,1.34172,1.22109,1.76319,0.81196,0.79221,0.87579,0.47961,1.45611,1.2075,2.03569,0.00198435,0.00198435,0.00198435
19,52.9072,1.28976,1.15349,1.72007,0.8617,0.74026,0.84342,0.4159,1.74255,1.23045,2.49664,0.00198246,0.00198246,0.00198246
20,55.6716,1.29356,1.10875,1.69286,0.80023,0.83117,0.82722,0.44285,1.61718,1.24812,2.40088,0.00198047,0.00198047,0.00198047
21,58.7504,1.26672,1.12224,1.69386,0.74371,0.71429,0.79689,0.45184,1.44533,1.6045,2.1097,0.00197837,0.00197837,0.00197837
22,61.546,1.24721,1.13257,1.69753,0.95505,0.82793,0.92231,0.4815,1.59645,1.15656,2.37137,0.00197616,0.00197616,0.00197616
23,64.2659,1.19683,1.03644,1.63575,0.80406,0.76623,0.7463,0.3609,1.80799,1.43265,2.90355,0.00197384,0.00197384,0.00197384
24,66.9835,1.18859,1.06881,1.61602,0.86646,0.93506,0.95228,0.52882,1.61005,0.92659,2.31401,0.00197142,0.00197142,0.00197142
25,69.6953,1.2102,1.09869,1.64455,0.98465,0.83334,0.92664,0.50706,1.468,0.92378,2.09954,0.0019689,0.0019689,0.0019689
26,72.4802,1.23037,1.04547,1.65633,0.88429,0.79405,0.86233,0.46531,1.46651,1.22961,2.1664,0.00196627,0.00196627,0.00196627
27,75.2598,1.20666,1.01627,1.62742,0.50809,0.68831,0.67108,0.30041,1.8163,2.05487,2.74116,0.00196353,0.00196353,0.00196353
28,77.974,1.23167,1.06737,1.66465,0.76962,0.71429,0.72196,0.30958,2.00732,1.29929,3.04113,0.00196069,0.00196069,0.00196069
29,80.644,1.19359,1.05128,1.63827,0.87903,0.94371,0.94961,0.56303,1.32132,0.88714,1.90603,0.00195775,0.00195775,0.00195775
30,83.3176,1.16733,0.98961,1.60823,0.82708,0.76623,0.87721,0.48327,1.46748,1.44892,2.11876,0.0019547,0.0019547,0.0019547
31,86.0231,1.17213,1.04709,1.61259,0.81672,0.81022,0.82864,0.44621,1.62837,1.16575,2.34938,0.00195155,0.00195155,0.00195155
32,88.7347,1.19457,1.01662,1.64143,0.88603,0.8961,0.92601,0.55767,1.35673,1.04514,2.01489,0.00194829,0.00194829,0.00194829
33,91.4,1.19198,1.03854,1.60239,0.9318,0.85714,0.93951,0.5946,1.35378,0.8119,2.02956,0.00194493,0.00194493,0.00194493
34,94.0965,1.20331,1.02723,1.63601,0.9346,0.88312,0.95109,0.56873,1.4535,0.84605,2.14283,0.00194147,0.00194147,0.00194147
35,96.7883,1.15064,0.94573,1.57155,0.94909,0.83117,0.90637,0.53442,1.46788,1.00569,2.1706,0.00193791,0.00193791,0.00193791
36,99.4835,1.16682,0.99898,1.59306,0.91213,0.92208,0.94361,0.5756,1.38089,0.90519,2.01386,0.00193424,0.00193424,0.00193424
37,102.161,1.12363,0.9484,1.55891,0.90144,0.85714,0.91991,0.53922,1.42596,1.12085,2.06557,0.00193048,0.00193048,0.00193048
