epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5012,2.12648,3.75975,2.44553,0,0,0,0,6.21828,6.84111,24.2512,0.000647619,0.000647619,0.000647619
2,20.6972,2.13948,3.51652,2.40148,0,0,0,0,nan,nan,nan,0.00131427,0.00131427,0.00131427
3,30.723,2.17239,3.58287,2.39215,0,0,0,0,nan,nan,nan,0.00198083,0.00198083,0.00198083
4,40.6885,2.08558,3.52287,2.35533,0.02026,0.13158,0.01624,0.00405,3.40302,51.1959,9.7751,0.00199973,0.00199973,0.00199973
5,50.5945,2.02414,3.37445,2.29473,9e-05,0.01316,4e-05,1e-05,nan,nan,nan,0.00199951,0.00199951,0.00199951
6,60.4258,2.00323,3.38478,2.26957,0.23549,0.53947,0.2438,0.08428,2.41307,13.2042,3.96794,0.00199924,0.00199924,0.00199924
7,70.331,1.89914,3.18309,2.20747,0.03899,0.27632,0.02767,0.00743,2.89721,7.88009,3.54449,0.0019989,0.0019989,0.0019989
8,80.1663,1.90696,3.19046,2.18218,0.14816,0.53947,0.12238,0.04325,2.45901,8.36363,3.33812,0.0019985,0.0019985,0.0019985
9,90.3569,1.8877,3.16637,2.17074,0.48986,0.56579,0.47969,0.14742,2.11664,5.69028,2.82567,0.00199805,0.00199805,0.00199805
10,100.247,1.84195,3.18712,2.13672,0.47299,0.65789,0.4506,0.15112,1.98836,3.90538,2.8273,0.00199753,0.00199753,0.00199753
11,110.189,1.81421,3.05509,2.11855,0.48817,0.5522,0.42213,0.15264,2.2081,3.46657,3.14687,0.00199695,0.00199695,0.00199695
12,120.124,1.83077,3.06318,2.1199,0.48405,0.60526,0.43556,0.13608,2.04423,5.54466,2.91518,0.00199631,0.00199631,0.00199631
13,129.941,1.79554,2.94516,2.08896,0.27063,0.32895,0.21784,0.06433,2.21525,3.85027,2.85702,0.00199561,0.00199561,0.00199561
14,139.791,1.77733,2.97968,2.0872,0.66353,0.52632,0.58555,0.17264,1.99259,3.52627,2.64789,0.00199484,0.00199484,0.00199484
15,149.722,1.84849,3.07608,2.1366,0.3801,0.47603,0.28502,0.06929,2.64805,3.40922,3.36089,0.00199402,0.00199402,0.00199402
16,159.513,1.75359,2.98459,2.08284,0.5163,0.56182,0.4176,0.13335,2.59007,3.00599,3.37419,0.00199314,0.00199314,0.00199314
17,169.074,1.79189,2.90835,2.0854,0.58506,0.63158,0.52265,0.1718,2.21188,5.58393,2.85467,0.00199219,0.00199219,0.00199219
18,178.746,1.72888,2.89625,2.04888,0.64888,0.80244,0.6714,0.26169,1.73618,3.09289,2.43231,0.00199119,0.00199119,0.00199119
19,188.496,1.74837,2.8361,2.05174,0.56296,0.59211,0.55473,0.15906,2.24002,3.02419,3.08041,0.00199012,0.00199012,0.00199012
20,198.178,1.7967,2.89494,2.10051,0.53084,0.55086,0.51122,0.18615,2.25275,3.01672,2.75834,0.001989,0.001989,0.001989
21,208.204,1.7751,2.93307,2.08136,0.66602,0.83968,0.73585,0.25199,1.85466,3.39252,2.42344,0.00198781,0.00198781,0.00198781
22,217.647,1.78008,2.85021,2.08262,0.58803,0.52632,0.45555,0.13219,2.23148,3.04514,3.12451,0.00198656,0.00198656,0.00198656
23,227.075,1.75599,2.96176,2.0477,0.46522,0.51511,0.37157,0.09965,2.37743,3.34418,3.21137,0.00198526,0.00198526,0.00198526
24,236.769,1.71278,2.84569,2.03288,0.6515,0.64474,0.614,0.203,1.99977,2.66448,2.68028,0.00198389,0.00198389,0.00198389
25,246.25,1.71659,2.79039,2.00889,0.624,0.54597,0.53982,0.18393,2.09176,2.8032,2.84132,0.00198246,0.00198246,0.00198246
26,255.769,1.66384,2.80188,1.9947,0.57543,0.53947,0.48862,0.15479,1.91448,3.15235,2.61103,0.00198098,0.00198098,0.00198098
27,265.11,1.76941,2.921,2.06178,0.37162,0.50583,0.35493,0.12525,2.19016,5.07784,3.11696,0.00197943,0.00197943,0.00197943
28,274.243,1.73444,2.87034,2.04555,0.72903,0.57895,0.61465,0.20235,2.14383,2.94278,2.84196,0.00197782,0.00197782,0.00197782
29,283.369,1.75434,2.84193,2.03445,0.60251,0.5585,0.51465,0.15964,2.39852,3.06398,3.05637,0.00197616,0.00197616,0.00197616
30,292.491,1.7416,2.76533,2.02344,0.52262,0.59062,0.4932,0.14463,2.36695,2.98928,3.25274,0.00197443,0.00197443,0.00197443
31,301.628,1.68863,2.73739,1.99304,0.50865,0.53127,0.47444,0.15502,2.10231,3.0672,2.90234,0.00197265,0.00197265,0.00197265
32,310.777,1.69679,2.78457,2.0076,0.67956,0.64474,0.69547,0.28712,1.94844,2.4536,2.51474,0.0019708,0.0019708,0.0019708
33,319.954,1.65964,2.67109,1.95776,0.68538,0.71053,0.70218,0.30802,1.73293,2.86006,2.31893,0.0019689,0.0019689,0.0019689
34,329.166,1.6801,2.71399,1.99288,0.7509,0.63158,0.74885,0.32762,1.73398,2.52076,2.42712,0.00196693,0.00196693,0.00196693
35,338.369,1.68823,2.7454,1.98849,0.76575,0.64474,0.69846,0.28802,1.88366,2.49565,2.52067,0.00196491,0.00196491,0.00196491
36,347.519,1.67308,2.65288,1.95996,0.67894,0.60526,0.64443,0.26385,1.94377,2.71789,2.60956,0.00196283,0.00196283,0.00196283
37,356.653,1.63811,2.64751,1.94441,0.75579,0.77632,0.78691,0.35823,1.71395,2.3987,2.34301,0.00196069,0.00196069,0.00196069
38,365.863,1.64071,2.6455,1.95633,0.64067,0.65688,0.69316,0.3143,1.75858,2.99271,2.3194,0.00195849,0.00195849,0.00195849
39,375.009,1.66824,2.70371,1.96711,0.75329,0.72318,0.77292,0.3191,1.73565,2.69295,2.37206,0.00195624,0.00195624,0.00195624
40,384.16,1.64291,2.59596,1.95588,0.76286,0.76316,0.72962,0.29873,1.90783,2.08499,2.49998,0.00195392,0.00195392,0.00195392
41,393.286,1.6026,2.62018,1.94025,0.69956,0.68421,0.72105,0.25448,1.82787,2.6935,2.44942,0.00195155,0.00195155,0.00195155
