epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0599,2.02798,4.25095,2.18379,0.06238,0.34167,0.05757,0.01531,2.77392,39.6599,5.05286,0.00054845,0.00054845,0.00054845
2,43.2252,2.22181,4.22339,2.33129,0.08049,0.09259,0.01823,0.00414,3.62393,7.88553,4.68964,0.0011041,0.0011041,0.0011041
3,63.0607,2.25477,4.44686,2.38547,0.0219,0.09537,0.00746,0.00181,3.50618,78.576,4.29983,0.00165968,0.00165968,0.00165968
4,82.8732,2.17419,4.34127,2.33473,0.02086,0.17917,0.02124,0.00586,2.6349,104.768,3.19489,0.00166677,0.00166677,0.00166677
5,102.593,2.10088,4.20004,2.24172,0.20699,0.24028,0.1285,0.03938,2.6099,7.74216,3.06518,0.00166659,0.00166659,0.00166659
6,122.389,2.08486,4.13463,2.25519,0.20369,0.30694,0.17971,0.05271,2.36967,5.83723,2.78404,0.00166636,0.00166636,0.00166636
7,142.159,2.05487,4.04674,2.23004,0.15537,0.22454,0.08285,0.02147,2.60275,7.41062,2.84875,0.00166608,0.00166608,0.00166608
8,161.858,2.03334,3.91079,2.17823,0.436,0.55411,0.41583,0.14316,2.21213,4.17382,2.59066,0.00166575,0.00166575,0.00166575
9,181.681,2.00158,3.81092,2.17286,0.34328,0.47593,0.3708,0.13289,2.19943,5.0639,2.57638,0.00166537,0.00166537,0.00166537
10,201.387,1.96267,3.71587,2.13072,0.36648,0.47118,0.33239,0.12787,2.33442,4.84937,2.71773,0.00166494,0.00166494,0.00166494
11,221.072,1.94415,3.54492,2.10352,0.41866,0.52176,0.37821,0.14602,2.26094,3.9387,2.69083,0.00166446,0.00166446,0.00166446
12,240.818,1.95278,3.67499,2.10285,0.58794,0.40862,0.44812,0.16834,2.19255,3.69406,2.59444,0.00166392,0.00166392,0.00166392
13,260.619,1.93961,3.54167,2.08176,0.3652,0.4162,0.32325,0.12447,2.25227,4.03321,2.64533,0.00166334,0.00166334,0.00166334
14,280.368,1.8993,3.50684,2.06501,0.56664,0.54815,0.58401,0.21656,2.07807,3.27868,2.39482,0.0016627,0.0016627,0.0016627
15,300.096,1.8865,3.44886,2.05545,0.56411,0.56747,0.52156,0.19589,2.13808,2.93571,2.53794,0.00166202,0.00166202,0.00166202
16,319.778,1.87799,3.42371,2.0365,0.65361,0.49879,0.55386,0.17585,2.34108,3.15428,2.75227,0.00166128,0.00166128,0.00166128
17,339.531,1.88236,3.3935,2.05149,0.5088,0.54572,0.48365,0.17551,2.22117,3.48624,2.64334,0.00166049,0.00166049,0.00166049
18,359.262,1.86916,3.41949,2.05357,0.62104,0.58843,0.60751,0.26012,2.10151,2.63458,2.45477,0.00165966,0.00165966,0.00165966
19,379.019,1.84161,3.35387,2.04394,0.51013,0.54352,0.51419,0.19821,2.09128,3.47232,2.40646,0.00165877,0.00165877,0.00165877
20,398.688,1.84889,3.26492,2.01629,0.59666,0.53238,0.55744,0.22958,2.1603,3.16453,2.51743,0.00165783,0.00165783,0.00165783
21,418.4,1.82804,3.40269,2.03332,0.59645,0.50881,0.56909,0.19925,2.23606,3.16975,2.53254,0.00165684,0.00165684,0.00165684
22,438.168,1.84704,3.27951,2.02799,0.63184,0.57593,0.61005,0.24253,2.05906,3.0745,2.43524,0.0016558,0.0016558,0.0016558
23,457.83,1.81931,3.19906,2.0038,0.57113,0.44306,0.51482,0.20146,2.30903,3.77115,2.68117,0.00165471,0.00165471,0.00165471
24,477.494,1.79664,3.2044,1.98832,0.73256,0.61528,0.66863,0.26448,2.14601,2.64465,2.4827,0.00165357,0.00165357,0.00165357
25,497.295,1.78924,3.12597,1.99278,0.64826,0.57548,0.64719,0.26612,2.0641,2.98671,2.43711,0.00165238,0.00165238,0.00165238
26,517.072,1.81113,3.16205,1.99411,0.76296,0.65833,0.71341,0.31145,2.02976,2.4296,2.34576,0.00165114,0.00165114,0.00165114
27,536.908,1.76826,3.09688,1.97289,0.45791,0.38557,0.32897,0.14132,2.31349,4.53579,2.72899,0.00164986,0.00164986,0.00164986
28,556.647,1.77644,3.10803,1.95927,0.58222,0.70407,0.65923,0.26508,2.03367,2.73401,2.36136,0.00164852,0.00164852,0.00164852
29,576.38,1.78654,3.07893,1.96467,0.67854,0.61898,0.68606,0.30988,1.99708,2.61527,2.28417,0.00164713,0.00164713,0.00164713
30,596.04,1.76561,3.00785,1.94349,0.71688,0.66454,0.72571,0.31869,1.98926,2.37751,2.29648,0.00164569,0.00164569,0.00164569
31,615.868,1.76612,3.0344,1.94083,0.60467,0.57222,0.5959,0.21991,2.28479,2.72056,2.62929,0.0016442,0.0016442,0.0016442
32,635.569,1.75691,2.94548,1.93537,0.73868,0.66759,0.73046,0.28538,2.13449,2.5867,2.44117,0.00164266,0.00164266,0.00164266
33,655.246,1.74463,2.94137,1.93587,0.7082,0.66852,0.71457,0.30278,2.07482,2.5503,2.3323,0.00164108,0.00164108,0.00164108
34,674.904,1.73072,2.99827,1.91562,0.75859,0.7401,0.80025,0.38348,1.97795,2.23986,2.20832,0.00163944,0.00163944,0.00163944
35,694.653,1.74981,2.95112,1.93477,0.70765,0.64071,0.71125,0.33661,1.92697,2.48136,2.20282,0.00163775,0.00163775,0.00163775
36,714.349,1.75243,2.91363,1.94118,0.72847,0.6588,0.71014,0.29737,2.05664,2.89003,2.32648,0.00163602,0.00163602,0.00163602
37,734.096,1.74889,2.88164,1.91159,0.79759,0.73255,0.77,0.33388,2.05718,2.17742,2.35837,0.00163424,0.00163424,0.00163424
38,753.794,1.71649,2.86274,1.89797,0.69098,0.62731,0.71128,0.35193,1.91035,2.55616,2.19027,0.0016324,0.0016324,0.0016324
39,773.46,1.7293,2.91296,1.91649,0.78713,0.69734,0.74257,0.30697,2.08942,2.32653,2.3452,0.00163052,0.00163052,0.00163052
40,793.162,1.71323,2.85752,1.90187,0.72113,0.63981,0.71738,0.29027,2.17225,2.36663,2.50442,0.00162859,0.00162859,0.00162859
41,812.88,1.7386,2.8527,1.92342,0.75782,0.75602,0.756,0.34707,2.01015,2.12843,2.29016,0.00162661,0.00162661,0.00162661
42,832.625,1.71879,2.82151,1.9115,0.73635,0.68528,0.72976,0.31168,2.03381,2.55619,2.3297,0.00162459,0.00162459,0.00162459
43,852.315,1.67593,2.75086,1.89538,0.77342,0.70972,0.74026,0.29625,2.17403,2.4492,2.45241,0.00162251,0.00162251,0.00162251
44,871.996,1.6747,2.77071,1.87733,0.73086,0.6463,0.73133,0.35488,1.88233,2.3974,2.16185,0.00162039,0.00162039,0.00162039
45,891.779,1.67731,2.76537,1.87266,0.76264,0.69101,0.77165,0.38262,1.96122,2.27479,2.17762,0.00161822,0.00161822,0.00161822
46,911.469,1.67972,2.75712,1.86687,0.76855,0.71019,0.76246,0.33319,2.10236,2.20729,2.3542,0.001616,0.001616,0.001616
47,931.176,1.67759,2.75064,1.89011,0.7518,0.73796,0.79393,0.3887,1.95445,2.09075,2.23999,0.00161373,0.00161373,0.00161373
48,950.853,1.63765,2.68986,1.86079,0.8213,0.69907,0.79813,0.37603,1.98321,2.07004,2.21473,0.00161142,0.00161142,0.00161142
49,970.569,1.69432,2.74829,1.88702,0.73154,0.65093,0.71235,0.31779,2.07571,2.31136,2.32874,0.00160905,0.00160905,0.00160905
50,990.293,1.65632,2.67124,1.86452,0.78637,0.72546,0.79086,0.34112,1.98673,2.21444,2.23202,0.00160664,0.00160664,0.00160664
51,1009.96,1.665,2.65043,1.87775,0.83938,0.74815,0.80776,0.36534,2.0361,1.97769,2.29052,0.00160419,0.00160419,0.00160419
52,1029.66,1.64963,2.67825,1.86276,0.73201,0.60049,0.68682,0.30303,2.00795,2.62092,2.30263,0.00160168,0.00160168,0.00160168
53,1049.36,1.65717,2.7099,1.87521,0.90001,0.75556,0.83321,0.39017,1.96564,1.97168,2.18951,0.00159913,0.00159913,0.00159913
54,1069.11,1.66325,2.68515,1.88341,0.81077,0.72579,0.79237,0.37707,1.9623,2.0062,2.23012,0.00159654,0.00159654,0.00159654
55,1088.8,1.66487,2.63956,1.85474,0.80058,0.76343,0.81452,0.43067,1.84457,1.83965,2.07701,0.00159389,0.00159389,0.00159389
56,1108.54,1.64561,2.5894,1.85996,0.81784,0.71806,0.79337,0.40258,1.82937,2.1589,2.11156,0.0015912,0.0015912,0.0015912
57,1128.22,1.64884,2.65363,1.86648,0.84944,0.70936,0.79009,0.38432,1.89617,2.06774,2.16338,0.00158847,0.00158847,0.00158847
58,1147.91,1.64383,2.52511,1.84748,0.75733,0.71296,0.79845,0.37665,1.91793,2.07788,2.1811,0.00158568,0.00158568,0.00158568
59,1167.6,1.64732,2.62753,1.85275,0.80576,0.77546,0.82621,0.40605,1.93922,1.91387,2.13398,0.00158286,0.00158286,0.00158286
60,1187.27,1.62451,2.53384,1.81339,0.74742,0.70508,0.76054,0.33571,2.01647,2.19105,2.2413,0.00157998,0.00157998,0.00157998
61,1206.96,1.64494,2.5514,1.83313,0.84233,0.73519,0.80999,0.39013,1.90725,2.0203,2.17367,0.00157706,0.00157706,0.00157706
62,1226.6,1.636,2.5172,1.83175,0.82861,0.78823,0.85074,0.43518,1.81614,1.83712,2.04905,0.0015741,0.0015741,0.0015741
63,1246.32,1.64176,2.55598,1.84152,0.76609,0.79407,0.80431,0.41014,1.91148,1.8958,2.1393,0.00157109,0.00157109,0.00157109
64,1266.02,1.60532,2.50196,1.81668,0.82465,0.76204,0.83955,0.4369,1.78437,1.73524,2.02618,0.00156803,0.00156803,0.00156803
65,1285.82,1.62035,2.4153,1.80831,0.81159,0.80185,0.83963,0.45483,1.76401,1.90764,1.99588,0.00156493,0.00156493,0.00156493
66,1305.53,1.60742,2.43536,1.80726,0.88261,0.70966,0.84608,0.46231,1.78745,1.87773,2.03966,0.00156179,0.00156179,0.00156179
67,1325.34,1.61193,2.49417,1.81539,0.82467,0.74861,0.81941,0.43194,1.78747,2.0107,2.04231,0.0015586,0.0015586,0.0015586
68,1345.08,1.61002,2.46464,1.80453,0.78875,0.74029,0.8156,0.41979,1.78774,1.94898,2.04691,0.00155537,0.00155537,0.00155537
69,1364.83,1.60355,2.40831,1.81262,0.87899,0.77146,0.85476,0.4393,1.79285,1.78833,2.05685,0.00155209,0.00155209,0.00155209
70,1384.51,1.60444,2.3839,1.79854,0.69746,0.75864,0.78609,0.38244,1.8398,2.05914,2.1117,0.00154877,0.00154877,0.00154877
71,1404.16,1.56765,2.3314,1.77917,0.84039,0.74213,0.81467,0.46163,1.69579,1.80269,1.97869,0.0015454,0.0015454,0.0015454
