epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.09425,1.95337,4.12713,2.2197,0.03971,0.85526,0.32251,0.09186,1.92756,5.15762,3.38982,0.000647619,0.000647619,0.000647619
2,9.51955,1.84238,3.44651,2.1298,0.14336,0.13158,0.10478,0.0359,2.21334,5.4176,3.17807,0.00131427,0.00131427,0.00131427
3,12.8795,1.86118,3.38483,2.16066,0.12844,0.13577,0.05892,0.01785,3.52381,6.17286,4.22584,0.00198083,0.00198083,0.00198083
4,16.171,1.8516,3.29757,2.14996,0.18807,0.22368,0.11204,0.02633,2.98219,5.69424,3.58023,0.00199973,0.00199973,0.00199973
5,19.495,1.80789,3.1664,2.13133,0.34997,0.47368,0.31847,0.09509,2.63784,8.23383,3.29543,0.00199951,0.00199951,0.00199951
6,23.2414,1.79735,3.10488,2.0866,0.18548,0.27632,0.18043,0.08063,2.29881,4.43689,2.94226,0.00199924,0.00199924,0.00199924
7,26.5665,1.7298,2.87111,2.03597,0.6468,0.55263,0.57936,0.18816,2.26917,2.89902,2.9812,0.0019989,0.0019989,0.0019989
8,29.9411,1.76481,2.87231,2.04129,0.28227,0.31579,0.19839,0.05458,2.38143,4.16231,2.88794,0.0019985,0.0019985,0.0019985
9,33.2194,1.74547,2.88053,2.04675,0.59181,0.61842,0.57222,0.19246,1.83745,4.72203,2.51881,0.00199805,0.00199805,0.00199805
10,36.4789,1.70859,2.81319,2.02756,0.55163,0.60526,0.52749,0.21518,2.01803,4.25039,2.62756,0.00199753,0.00199753,0.00199753
11,39.7197,1.67352,2.71334,2.00513,0.6781,0.56579,0.61007,0.19691,2.1064,3.9098,2.97094,0.00199695,0.00199695,0.00199695
12,42.9624,1.67886,2.65138,1.99312,0.81052,0.67105,0.73408,0.28926,1.86137,2.87121,2.6197,0.00199631,0.00199631,0.00199631
13,46.2316,1.63666,2.6391,1.97891,0.70445,0.59592,0.66537,0.27877,1.85902,2.84659,2.56556,0.00199561,0.00199561,0.00199561
14,49.4925,1.64265,2.60961,1.97429,0.52271,0.51316,0.50772,0.15903,2.18221,3.23961,2.86284,0.00199484,0.00199484,0.00199484
15,52.7478,1.69059,2.63193,2.00827,0.63681,0.67105,0.59409,0.18316,2.36673,2.59557,3.15312,0.00199402,0.00199402,0.00199402
16,56.0661,1.59126,2.5181,1.92255,0.65092,0.65789,0.64011,0.24117,1.98396,2.62639,2.75303,0.00199314,0.00199314,0.00199314
17,59.3096,1.62673,2.49481,1.95051,0.60292,0.75,0.68726,0.27738,1.94263,2.65613,2.40211,0.00199219,0.00199219,0.00199219
18,62.745,1.61005,2.52032,1.94509,0.74596,0.60526,0.71815,0.30587,1.75118,2.52512,2.4123,0.00199119,0.00199119,0.00199119
19,66.0299,1.59881,2.46051,1.92953,0.71832,0.76316,0.81957,0.37385,1.72836,2.20442,2.33587,0.00199012,0.00199012,0.00199012
20,69.3162,1.59442,2.46431,1.93144,0.61059,0.63158,0.64671,0.23151,1.80099,3.04369,2.32664,0.001989,0.001989,0.001989
21,72.6009,1.58565,2.4185,1.92746,0.8221,0.76316,0.86781,0.38284,1.88139,2.01048,2.46335,0.00198781,0.00198781,0.00198781
22,75.8879,1.59,2.33777,1.91466,0.72876,0.56563,0.53519,0.15177,2.39895,2.60007,3.22871,0.00198656,0.00198656,0.00198656
23,79.1634,1.613,2.45279,1.90842,0.83593,0.60339,0.72495,0.28848,2.1089,2.62237,2.68983,0.00198526,0.00198526,0.00198526
24,82.4106,1.58995,2.36823,1.91467,0.7496,0.74842,0.78233,0.30524,1.97859,1.89281,2.67971,0.00198389,0.00198389,0.00198389
25,85.6218,1.59376,2.32336,1.89761,0.76229,0.76316,0.79293,0.37067,1.61804,2.67575,2.23928,0.00198246,0.00198246,0.00198246
26,88.8484,1.56023,2.35819,1.88497,0.77648,0.73138,0.74425,0.27744,2.09209,2.30156,2.66181,0.00198098,0.00198098,0.00198098
27,91.8851,1.57642,2.39213,1.91063,0.85945,0.73684,0.81756,0.38715,1.91031,1.8074,2.63858,0.00197943,0.00197943,0.00197943
28,95.0928,1.55441,2.3675,1.88097,0.76633,0.88158,0.86753,0.40564,1.87474,1.85548,2.5795,0.00197782,0.00197782,0.00197782
29,98.1031,1.54032,2.29417,1.86269,0.94365,0.88138,0.94317,0.45622,1.64599,1.69943,2.25024,0.00197616,0.00197616,0.00197616
30,101.348,1.52314,2.23515,1.84216,0.80957,0.75,0.80228,0.33413,1.85496,1.73413,2.46782,0.00197443,0.00197443,0.00197443
31,104.463,1.5226,2.25504,1.86428,0.90011,0.78947,0.90688,0.48018,1.68381,1.66538,2.17597,0.00197265,0.00197265,0.00197265
32,107.612,1.55156,2.3118,1.87246,0.91209,0.77632,0.90967,0.45561,1.60718,1.70336,2.13623,0.0019708,0.0019708,0.0019708
33,110.69,1.52181,2.17855,1.84748,0.84644,0.84211,0.89071,0.38813,1.70659,1.92078,2.16397,0.0019689,0.0019689,0.0019689
34,113.738,1.54804,2.28309,1.87659,0.90765,0.77632,0.873,0.37648,1.92878,1.76696,2.57375,0.00196693,0.00196693,0.00196693
35,116.832,1.52583,2.31046,1.85018,0.79818,0.72368,0.85436,0.46219,1.45737,1.95737,2.11932,0.00196491,0.00196491,0.00196491
36,119.926,1.52721,2.22512,1.84567,0.63599,0.63158,0.69318,0.32431,1.60108,2.31847,2.18176,0.00196283,0.00196283,0.00196283
37,122.932,1.52875,2.30068,1.85878,0.90541,0.88165,0.92737,0.4212,1.71088,1.7675,2.40782,0.00196069,0.00196069,0.00196069
38,125.963,1.49321,2.2294,1.84404,0.63275,0.65744,0.60862,0.24455,2.1135,2.34581,3.08941,0.00195849,0.00195849,0.00195849
