epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27491,1.90708,4.14297,2.2076,0.00324,0.88312,0.28874,0.08767,2.13735,5.45487,3.13326,0.000647619,0.000647619,0.000647619
2,8.72853,1.85335,3.4203,2.15351,0.19471,0.28571,0.12132,0.03037,2.26396,5.52132,3.49603,0.00131428,0.00131428,0.00131428
3,12.1633,1.83655,3.34349,2.15757,0.04035,0.20779,0.01715,0.0037,3.76657,8.61164,5.30264,0.00198093,0.00198093,0.00198093
4,15.4835,1.86272,3.22326,2.14515,0.11726,0.20779,0.05062,0.01358,2.82123,7.3007,3.77279,0.00199996,0.00199996,0.00199996
5,18.7424,1.77606,3.15298,2.12192,0.081,0.16883,0.03523,0.00663,3.48654,9.78697,4.17045,0.00199992,0.00199992,0.00199992
6,22.0664,1.80604,3.04788,2.10548,0.50332,0.53247,0.48384,0.14378,2.15267,3.85585,2.99349,0.00199988,0.00199988,0.00199988
7,25.3746,1.7513,2.93553,2.08373,0.51002,0.38961,0.32139,0.0934,2.41476,5.45096,3.50419,0.00199982,0.00199982,0.00199982
8,28.7606,1.76459,2.84932,2.06981,0.29227,0.53247,0.28148,0.0952,2.02586,6.46966,2.72671,0.00199976,0.00199976,0.00199976
9,32.0377,1.73149,2.7924,2.0315,0.27491,0.4026,0.20115,0.06756,2.5343,4.89588,3.0052,0.00199969,0.00199969,0.00199969
10,35.6931,1.72925,2.81377,2.0414,0.36651,0.38961,0.35006,0.11676,2.53236,4.15643,2.89903,0.0019996,0.0019996,0.0019996
11,38.9616,1.71095,2.69697,2.00842,0.53152,0.67532,0.56631,0.20523,1.97768,3.41006,2.82013,0.00199951,0.00199951,0.00199951
12,42.2212,1.6798,2.67155,2.00802,0.61126,0.42857,0.45284,0.17133,2.24329,3.48371,2.79393,0.00199941,0.00199941,0.00199941
13,45.4358,1.63341,2.58018,1.96282,0.69856,0.72727,0.68072,0.27167,1.94426,2.69006,2.87187,0.0019993,0.0019993,0.0019993
14,48.7149,1.67602,2.52104,1.97415,0.71193,0.80243,0.76986,0.32907,1.75817,2.62852,2.40845,0.00199917,0.00199917,0.00199917
15,51.9911,1.67288,2.60493,1.98612,0.82383,0.68831,0.76157,0.28102,2.18308,2.29183,2.96319,0.00199904,0.00199904,0.00199904
16,55.2574,1.658,2.5835,1.97097,0.59317,0.61039,0.61829,0.25233,1.94642,2.98506,2.50968,0.0019989,0.0019989,0.0019989
17,58.5723,1.66335,2.48029,1.97785,0.61013,0.63009,0.63961,0.23568,2.02439,3.42716,2.50265,0.00199875,0.00199875,0.00199875
18,61.8008,1.63846,2.52232,1.966,0.67928,0.71429,0.77219,0.32293,1.97099,2.58274,2.61186,0.00199859,0.00199859,0.00199859
19,65.0443,1.61186,2.47365,1.92533,0.77397,0.80051,0.79973,0.32924,1.83143,2.92465,2.48931,0.00199842,0.00199842,0.00199842
20,68.3623,1.62305,2.48624,1.92497,0.61301,0.72005,0.69178,0.31206,1.79177,3.21319,2.47203,0.00199824,0.00199824,0.00199824
21,71.6718,1.60415,2.45765,1.92655,0.72004,0.70143,0.68981,0.25249,2.09051,3.24149,2.77835,0.00199805,0.00199805,0.00199805
22,75.0163,1.57259,2.44422,1.8958,0.66644,0.57143,0.6389,0.2682,2.01642,3.20091,2.93214,0.00199785,0.00199785,0.00199785
23,78.4086,1.61816,2.45714,1.92854,0.85095,0.74148,0.84957,0.37986,1.72145,2.36084,2.39305,0.00199764,0.00199764,0.00199764
24,81.7866,1.53914,2.3816,1.87439,0.75851,0.81818,0.81001,0.31294,1.88908,2.2611,2.48993,0.00199742,0.00199742,0.00199742
25,85.3434,1.57415,2.37893,1.90989,0.78316,0.76623,0.79175,0.35502,1.71543,2.2977,2.25608,0.00199719,0.00199719,0.00199719
26,88.6886,1.57611,2.37402,1.91096,0.81404,0.79594,0.80096,0.3828,1.80447,2.11555,2.42208,0.00199695,0.00199695,0.00199695
27,92.0837,1.57133,2.37325,1.90097,0.73006,0.77922,0.77723,0.33807,1.89989,2.61364,2.502,0.0019967,0.0019967,0.0019967
28,95.5336,1.56031,2.32522,1.91315,0.83585,0.75325,0.84496,0.37927,1.97102,2.01516,2.70171,0.00199644,0.00199644,0.00199644
29,98.8755,1.56726,2.29842,1.87956,0.96323,0.74026,0.86272,0.43919,1.69834,2.48053,2.2617,0.00199617,0.00199617,0.00199617
30,102.231,1.53989,2.2941,1.87299,0.81862,0.81818,0.89926,0.43791,1.76921,1.81308,2.33752,0.00199589,0.00199589,0.00199589
31,105.611,1.50932,2.22962,1.85121,0.81915,0.70591,0.74199,0.31137,2.16137,2.41719,2.96066,0.00199561,0.00199561,0.00199561
32,109.03,1.53265,2.29711,1.86941,0.79962,0.63636,0.79839,0.3682,1.86431,2.49437,2.54513,0.00199531,0.00199531,0.00199531
33,112.403,1.49102,2.18019,1.81044,0.81662,0.74026,0.84198,0.41656,1.68826,2.5049,2.25281,0.001995,0.001995,0.001995
34,115.785,1.48831,2.2211,1.82706,0.77477,0.75325,0.80893,0.33554,2.02326,2.41299,2.62598,0.00199468,0.00199468,0.00199468
35,119.169,1.52765,2.248,1.84538,0.83068,0.83117,0.90842,0.4339,1.89096,1.8949,2.36731,0.00199436,0.00199436,0.00199436
36,122.506,1.56301,2.20449,1.86087,0.65293,0.76623,0.75702,0.348,1.76955,2.68933,2.34593,0.00199402,0.00199402,0.00199402
37,125.822,1.50172,2.18235,1.83572,0.70251,0.7667,0.79108,0.34245,1.88432,2.08346,2.52654,0.00199368,0.00199368,0.00199368
38,129.379,1.51868,2.1652,1.85501,0.8859,0.72727,0.81499,0.37802,1.84178,1.9788,2.56131,0.00199332,0.00199332,0.00199332
39,132.851,1.47327,2.19066,1.84681,0.88811,0.88312,0.91612,0.46011,1.66726,1.86265,2.30301,0.00199295,0.00199295,0.00199295
40,136.007,1.45104,2.09505,1.80922,0.84487,0.85714,0.87881,0.47381,1.6145,2.17794,2.17139,0.00199258,0.00199258,0.00199258
41,139.195,1.45817,2.09608,1.80557,0.7901,0.87013,0.84846,0.44284,1.58417,1.99504,2.26982,0.00199219,0.00199219,0.00199219
42,142.503,1.47856,2.04898,1.83334,0.85774,0.78307,0.84698,0.41359,1.86171,1.8734,2.54601,0.0019918,0.0019918,0.0019918
43,146.044,1.52183,2.14454,1.85231,0.75705,0.84988,0.89243,0.47196,1.62843,1.81241,2.19438,0.00199139,0.00199139,0.00199139
44,149.267,1.44339,2.06114,1.78417,0.88178,0.79221,0.88626,0.46428,1.78892,1.96887,2.424,0.00199098,0.00199098,0.00199098
45,152.379,1.46566,2.07091,1.81364,0.87976,0.72727,0.86432,0.44307,1.81157,2.00623,2.46569,0.00199056,0.00199056,0.00199056
46,155.501,1.49855,2.16808,1.8403,0.78254,0.88798,0.90671,0.4804,1.52272,1.5848,2.09397,0.00199012,0.00199012,0.00199012
47,158.652,1.44946,2.05912,1.77096,0.8109,0.72404,0.77401,0.35376,1.95802,1.82895,2.78194,0.00198968,0.00198968,0.00198968
48,161.79,1.47772,2.10927,1.81577,0.84836,0.77922,0.89818,0.45185,1.70844,1.96187,2.30714,0.00198923,0.00198923,0.00198923
49,164.9,1.42909,1.99817,1.78636,0.78406,0.89592,0.84941,0.46737,1.61427,1.69377,2.2593,0.00198877,0.00198877,0.00198877
50,168.116,1.4344,1.99635,1.78,0.77721,0.90616,0.88951,0.44426,1.74813,1.66609,2.30113,0.00198829,0.00198829,0.00198829
51,171.618,1.46802,2.03298,1.80463,0.92633,0.87013,0.91729,0.39113,1.90369,1.69836,2.55175,0.00198781,0.00198781,0.00198781
52,174.811,1.46113,2.05041,1.80217,0.87123,0.83117,0.90129,0.48952,1.63351,1.87441,2.28902,0.00198732,0.00198732,0.00198732
53,178.049,1.43331,1.95503,1.77127,0.8862,0.80519,0.88348,0.47443,1.61809,1.79419,2.16062,0.00198682,0.00198682,0.00198682
54,181.273,1.4467,2.03872,1.78542,0.7991,0.82653,0.86524,0.4504,1.72833,1.78114,2.27932,0.00198631,0.00198631,0.00198631
55,184.492,1.46479,2.04247,1.80172,0.88758,0.83117,0.87285,0.46651,1.80291,1.70608,2.45741,0.00198579,0.00198579,0.00198579
56,187.672,1.43082,2.00828,1.76898,0.79632,0.81246,0.79162,0.40544,1.58413,2.35729,2.18433,0.00198526,0.00198526,0.00198526
57,190.836,1.4515,2.01823,1.78289,0.87021,0.78373,0.86377,0.50139,1.6372,2.08083,2.19285,0.00198472,0.00198472,0.00198472
58,194.041,1.42734,1.93861,1.75767,0.89003,0.84095,0.93375,0.4965,1.63255,1.51292,2.18435,0.00198417,0.00198417,0.00198417
59,197.187,1.44964,2.01978,1.79382,0.86805,0.85442,0.93043,0.46377,1.62988,1.50811,2.14339,0.00198361,0.00198361,0.00198361
60,200.344,1.43623,1.92278,1.76405,0.85983,0.87636,0.92165,0.51126,1.56707,1.92079,2.12393,0.00198304,0.00198304,0.00198304
61,203.476,1.45378,1.93388,1.7757,0.89163,0.90909,0.9478,0.54502,1.50417,1.30805,2.05322,0.00198246,0.00198246,0.00198246
