epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.01174,1.89558,4.43041,2.01428,0.55073,0.31204,0.3754,0.10677,2.18358,4.26557,2.6797,0.00054845,0.00054845,0.00054845
2,15.6242,1.95152,4.03924,2.07939,0.58184,0.12176,0.10627,0.03198,2.36919,11.0215,3.06459,0.0011041,0.0011041,0.0011041
3,22.0578,1.98451,3.97302,2.12776,0.32983,0.46343,0.26761,0.08303,2.33048,9.85169,3.00798,0.00165968,0.00165968,0.00165968
4,28.4081,1.96707,3.8262,2.11378,0.38302,0.44722,0.35407,0.11173,2.33512,4.9831,2.79039,0.00166677,0.00166677,0.00166677
5,34.8086,1.91518,3.63815,2.06985,0.45615,0.30347,0.31434,0.10385,2.34079,3.70204,2.65565,0.00166659,0.00166659,0.00166659
6,41.1313,1.89175,3.58941,2.05812,0.44431,0.50577,0.3891,0.12421,2.35143,3.6719,2.88071,0.00166636,0.00166636,0.00166636
7,47.6361,1.89252,3.42358,2.03488,0.55968,0.5185,0.52514,0.22634,2.1178,3.16895,2.38878,0.00166608,0.00166608,0.00166608
8,54.0894,1.85075,3.33599,2.01065,0.77483,0.57731,0.66481,0.26184,2.20965,2.76759,2.49016,0.00166575,0.00166575,0.00166575
9,60.1509,1.85216,3.35907,2.02684,0.74919,0.59491,0.65612,0.2728,2.0855,2.72572,2.36409,0.00166537,0.00166537,0.00166537
10,66.1489,1.81127,3.20378,1.98039,0.58221,0.59622,0.61057,0.24161,2.14665,3.42777,2.39423,0.00166494,0.00166494,0.00166494
11,72.1105,1.80774,3.19042,1.96488,0.647,0.55093,0.55923,0.20471,2.24358,3.08462,2.67836,0.00166446,0.00166446,0.00166446
12,78.0223,1.78604,3.15132,1.96246,0.76806,0.68502,0.71531,0.30126,2.24631,2.35557,2.48808,0.00166392,0.00166392,0.00166392
13,84.0123,1.7987,3.08005,1.95168,0.64233,0.5713,0.63166,0.24784,2.15118,2.65908,2.41841,0.00166334,0.00166334,0.00166334
14,89.9398,1.78224,3.09515,1.94728,0.70602,0.6813,0.63909,0.23396,2.21252,2.63137,2.50144,0.0016627,0.0016627,0.0016627
15,95.8331,1.76783,3.07474,1.93649,0.70127,0.62416,0.67347,0.27568,2.18569,2.65479,2.50219,0.00166202,0.00166202,0.00166202
16,101.744,1.76339,3.02835,1.91659,0.64346,0.64746,0.64165,0.22525,2.37891,2.90506,2.83884,0.00166128,0.00166128,0.00166128
17,107.663,1.76206,2.96823,1.91993,0.77198,0.71389,0.75167,0.33806,1.95473,2.47482,2.23032,0.00166049,0.00166049,0.00166049
18,113.594,1.74374,2.97417,1.92344,0.70825,0.73165,0.75504,0.36261,1.93327,2.34073,2.21995,0.00165966,0.00165966,0.00165966
19,119.668,1.7155,2.92015,1.9055,0.8191,0.73194,0.78083,0.33732,2.00841,2.2681,2.30062,0.00165877,0.00165877,0.00165877
20,125.632,1.71994,2.88005,1.88452,0.81382,0.67269,0.73661,0.34135,1.93824,2.45343,2.20648,0.00165783,0.00165783,0.00165783
