epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7329,1.86584,4.56444,1.9873,0.52009,0.15231,0.30703,0.11004,1.9624,4.3193,2.43645,0.00054845,0.00054845,0.00054845
2,18.813,1.97282,4.08922,2.10261,0.20326,0.49107,0.20662,0.06065,2.48009,9.45864,3.34474,0.00110409,0.00110409,0.00110409
3,25.4975,2.02221,4.0405,2.16054,0.0908,0.30417,0.07298,0.01771,2.86363,7.72156,3.68819,0.0016596,0.0016596,0.0016596
4,32.1491,1.98202,3.86275,2.14001,0.32335,0.44259,0.28313,0.08069,2.43233,4.84315,2.87461,0.00166659,0.00166659,0.00166659
5,38.688,1.94819,3.67119,2.09667,0.19536,0.31343,0.1907,0.05766,2.2933,4.13504,2.60362,0.00166628,0.00166628,0.00166628
6,45.2109,1.91858,3.61239,2.08305,0.29518,0.425,0.25192,0.08239,2.36856,4.10047,2.89423,0.00166587,0.00166587,0.00166587
7,51.9613,1.88925,3.4463,2.03629,0.50315,0.46435,0.45893,0.17683,2.078,3.82172,2.39262,0.00166537,0.00166537,0.00166537
8,58.5726,1.86703,3.37499,2.01242,0.5394,0.37554,0.38906,0.12775,2.26172,3.63473,2.54452,0.00166478,0.00166478,0.00166478
9,65.1928,1.86395,3.34901,2.02582,0.61986,0.56065,0.60904,0.25367,2.12919,2.95919,2.41111,0.00166411,0.00166411,0.00166411
10,71.7576,1.83461,3.19089,1.99352,0.50499,0.54491,0.46786,0.16484,2.31329,3.35216,2.71001,0.00166334,0.00166334,0.00166334
11,78.3503,1.835,3.25372,2.00672,0.55192,0.57492,0.59272,0.25768,2.19812,3.02404,2.55242,0.00166248,0.00166248,0.00166248
12,85.0205,1.81234,3.22917,1.99245,0.63041,0.63025,0.6074,0.23765,2.24922,2.68347,2.63304,0.00166153,0.00166153,0.00166153
13,91.6925,1.83289,3.15199,2.00363,0.59323,0.57101,0.58412,0.24436,2.08876,2.95745,2.40165,0.00166049,0.00166049,0.00166049
14,98.3043,1.82735,3.13025,1.9828,0.57411,0.49895,0.53429,0.19832,2.17531,2.97631,2.35238,0.00165937,0.00165937,0.00165937
15,105.006,1.8044,3.10457,1.96681,0.60833,0.53333,0.54735,0.18967,2.56531,3.0729,2.98739,0.00165815,0.00165815,0.00165815
16,111.787,1.79853,3.05838,1.94962,0.74806,0.52786,0.66473,0.28505,2.13032,2.65235,2.47112,0.00165684,0.00165684,0.00165684
17,118.53,1.76691,3.02464,1.94257,0.66267,0.65237,0.67734,0.28964,1.93114,2.80077,2.23484,0.00165544,0.00165544,0.00165544
18,125.155,1.76401,3.00439,1.93831,0.75275,0.72824,0.75106,0.34381,1.93475,2.37375,2.24502,0.00165396,0.00165396,0.00165396
