epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52147,1.94053,3.79507,2.22011,0.34276,0.67105,0.44865,0.15298,1.76313,4.86178,2.89599,0.000647619,0.000647619,0.000647619
2,7.83763,1.78457,3.29098,2.07382,0.37369,0.53947,0.37811,0.12577,2.20817,3.66999,3.21624,0.00131427,0.00131427,0.00131427
3,11.0271,1.83008,3.1883,2.10902,0.39063,0.40789,0.28726,0.08311,3.00686,3.40143,3.76421,0.00198083,0.00198083,0.00198083
4,14.2537,1.80993,3.14322,2.1124,0.06968,0.11842,0.027,0.0052,5.34842,9.46625,6.32895,0.00199973,0.00199973,0.00199973
5,17.4427,1.78067,3.00084,2.08145,0.55941,0.60526,0.55944,0.19528,2.18359,3.9335,4.06077,0.00199951,0.00199951,0.00199951
6,20.592,1.77778,2.96786,2.07286,0.45825,0.57895,0.40911,0.12981,2.29954,5.64867,3.52072,0.00199924,0.00199924,0.00199924
7,23.8287,1.7175,2.7802,2.03418,0.45574,0.65009,0.54224,0.16692,2.38633,3.72912,3.10431,0.0019989,0.0019989,0.0019989
8,26.9689,1.74286,2.81464,2.03122,0.64718,0.74822,0.73593,0.29718,1.87384,2.99208,2.49715,0.0019985,0.0019985,0.0019985
9,30.1846,1.70744,2.77672,2.0079,0.5375,0.65789,0.56479,0.22756,2.13302,3.33489,2.73882,0.00199805,0.00199805,0.00199805
10,33.3815,1.67055,2.67012,1.97551,0.66387,0.76316,0.75996,0.32871,1.74287,2.65419,2.33106,0.00199753,0.00199753,0.00199753
11,36.5209,1.62765,2.57607,1.95457,0.79713,0.82721,0.81582,0.3492,1.8362,2.19297,2.49107,0.00199695,0.00199695,0.00199695
12,39.8521,1.60273,2.53944,1.92351,0.75573,0.75,0.74738,0.3169,1.94342,2.66507,2.78966,0.00199631,0.00199631,0.00199631
13,43.0944,1.58238,2.49607,1.90825,0.80443,0.76316,0.84253,0.40444,1.77393,2.47502,2.32849,0.00199561,0.00199561,0.00199561
14,46.261,1.59648,2.51522,1.91822,0.71111,0.68021,0.73047,0.26253,2.02795,3.03356,2.73247,0.00199484,0.00199484,0.00199484
15,49.3987,1.66756,2.58089,1.9673,0.75816,0.63158,0.68196,0.22398,2.21814,2.74647,2.88807,0.00199402,0.00199402,0.00199402
16,52.6035,1.57396,2.51164,1.91495,0.86155,0.72368,0.84106,0.35465,1.81743,2.06183,2.42803,0.00199314,0.00199314,0.00199314
17,55.8347,1.61816,2.48643,1.93534,0.78077,0.63158,0.72047,0.2738,2.00512,2.58962,2.51511,0.00199219,0.00199219,0.00199219
18,59.0767,1.57924,2.41638,1.89868,0.61715,0.42105,0.46629,0.16033,2.29127,3.17407,2.73578,0.00199119,0.00199119,0.00199119
19,62.2818,1.57932,2.40036,1.89711,0.85038,0.67309,0.79478,0.40966,1.60146,1.91121,2.21618,0.00199012,0.00199012,0.00199012
20,65.5388,1.58664,2.40984,1.90393,0.63006,0.80679,0.78471,0.3772,1.64063,2.40712,2.18597,0.001989,0.001989,0.001989
21,68.7694,1.56227,2.32481,1.88695,0.79879,0.85526,0.84269,0.37539,1.69769,2.0559,2.28048,0.00198781,0.00198781,0.00198781
22,71.949,1.54635,2.2745,1.87753,0.73879,0.66989,0.6549,0.21387,2.40321,2.11314,3.45792,0.00198656,0.00198656,0.00198656
23,75.1175,1.54391,2.347,1.86139,0.78334,0.64474,0.71511,0.26119,2.24576,2.17412,3.09216,0.00198526,0.00198526,0.00198526
