epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.177,0.98368,1.31075,1.55897,0.96149,0.97276,0.97126,0.61965,1.20612,1.06209,1.91169,0.00194911,0.00194911,0.00194911
43,141.388,0.9515,1.25412,1.52851,0.93648,0.95736,0.9773,0.62057,1.15168,1.03629,1.94748,0.00194662,0.00194662,0.00194662
44,144.6,0.96423,1.29078,1.54127,0.94591,0.90848,0.96663,0.6738,1.01409,1.09026,1.78587,0.00194408,0.00194408,0.00194408
45,147.872,0.95544,1.22766,1.5281,0.93678,0.96228,0.97815,0.71112,0.98019,1.00493,1.74091,0.00194147,0.00194147,0.00194147
46,151.091,0.93908,1.25417,1.52415,0.93545,0.94108,0.95598,0.68199,1.07173,1.03205,1.88544,0.00193881,0.00193881,0.00193881
47,154.331,0.98402,1.22919,1.54302,0.94461,0.97403,0.9735,0.63327,1.10523,1.03458,1.91768,0.00193609,0.00193609,0.00193609
48,157.762,0.94569,1.23998,1.49708,0.94895,0.8961,0.96486,0.66794,0.99436,1.14888,1.69311,0.00193331,0.00193331,0.00193331
49,161.011,0.91025,1.19912,1.49455,0.93491,0.96104,0.97403,0.72132,1.01257,1.20293,1.72007,0.00193048,0.00193048,0.00193048
50,164.254,0.92579,1.23224,1.49674,0.98595,0.96104,0.9788,0.72966,0.98938,0.82088,1.74456,0.00192759,0.00192759,0.00192759
51,167.504,0.93345,1.19597,1.51095,0.88485,0.89821,0.94188,0.65582,1.11191,1.18735,1.83874,0.00192464,0.00192464,0.00192464
52,170.729,0.91275,1.12877,1.49122,0.98666,0.96049,0.976,0.72253,0.89988,0.81784,1.61306,0.00192164,0.00192164,0.00192164
53,173.968,0.93731,1.21754,1.52595,0.90571,0.93506,0.97205,0.71128,0.91681,0.97492,1.63589,0.00191858,0.00191858,0.00191858
